npi,org_pac_id,org_name,tier,endpoint,vendor,evidence
1063647741,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1063863181,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1063968535,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1073132924,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1073160636,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1073309142,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1073526240,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1073570768,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1073578191,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1073767109,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1073773552,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1073825378,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1073833125,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1073923603,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1073974242,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1083022289,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1083091912,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1083239701,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1083362693,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1083440127,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1083509830,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1083716237,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1083858740,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1083889885,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1093056541,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1093210890,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
